manufactor,Year,model,Hand,Gear,capacity_Engine,Engine_type,City,Price,Km,Region
פולקסווגן,2012,גולף,2,אוטומטית,1200.0,בנזין,תל אביב יפו,36600.0,145000.0,מרכז
פולקסווגן,2016,גולף,1,אוטומטית,1400.0,בנזין,תל אביב יפו,79000.0,34000.0,מרכז
סיטרואן,2017,C1,2,אוטומטית,998.0,בנזין,פתח תקווה,40000.0,40000.0,מרכז
יונדאי,2019,i20,2,אוטומטית,1000.0,בנזין,הוד השרון,67000.0,80000.0,מרכז
סיטרואן,2017,C3,2,אוטומטית,1200.0,בנזין,נחלה,50000.0,103000.0,מזרח
סוזוקי,2019, איגניס,1,אוטומטית,1200.0,בנזין,רעננה,81000.0,16800.0,מרכז
סקודה,2015," אוקטביה ספייס
 (2015)",2,אוטומטית,12000.0,דיזל,רמת גן,59000.0,141000.0,מרכז
אופל,2016,אסטרה,1,אוטומטית,1400.0,בנזין,אבן יהודה,37000.0,119000.0,מרכז
יונדאי,2021,i20,1,אוטומטית,1000.0,בנזין,ראשון לציון,94000.0,8000.0,מרכז
פולקסווגן,2013,פולו,3,אוטומטית,1200.0,בנזין,קריית ים,42000.0,128800.0,מזרח
אופל,2016,מוקה X,1,אוטומטית,1400.0,בנזין,כפר סבא,62000.0,120000.0,מרכז
מאזדה,2018, 3,2,אוטומטית,2000.0,בנזין,ראשון לציון,61500.0,158000.0,מרכז
טויוטה,2014,קורולה,2,אוטומטית,1598.0,בנזין,נתניה,56000.0,124500.0,מרכז
פולקסווגן,2008,גולף,3,אוטומטית,2000.0,בנזין,נתיבות,20000.0,188000.0,דרום
יונדאי,2014,i10,2,ידנית,1000.0,בנזין,גן יבנה,21000.0,142500.0,דרום
קיה,2013,פורטה,2,אוטומטית,1600.0,בנזין,חולון,30000.0,160000.0,מרכז
סוזוקי,2018, SX4,1,אוטומטית,1400.0,בנזין,טבריה,95000.0,46000.0,צפון
פולקסווגן,2013,פאסאט CC,2,אוטומטית,2000.0,בנזין,עין מאהל,59000.0,187000.0,מזרח
יונדאי,2021,i10,1,רובוטית,1200.0,בנזין,מושב מולדת,80000.0,12000.0,מזרח
טויוטה,2017,קורולה,2,אוטומטית,1600.0,בנזין,כפר יעבץ,80000.0,92000.0,מרכז
סקודה,2016," פאביה
 (2016)",1,אוטומטית,1200.0,בנזין,מרר,45000.0,124000.0,מזרח
רנו,2015, קליאו,3,ידנית,1000.0,בנזין,נצרת עילית,30500.0,102000.0,צפון
פולקסווגן,2016,גולף,3,אוטומטית,1400.0,בנזין,פתח תקווה,66000.0,94000.0,מרכז
מרצדס,2014,200,2,אוטומטית,2143.0,דיזל,חולון,45500.0,246900.0,מרכז
מאזדה,2013, 5,2,אוטומטית,2000.0,בנזין,אילת,65000.0,150000.0,דרום
לקסוס,2014, IS300h,3,אוטומטית,1600.0,היברידי,ברקת,82000.0,143000.0,מרכז
רנו,2015, גרנד סניק,2,אוטומטית,1500.0,דיזל,זכרון יעקב,25500.0,225000.0,צפון
סקודה,2013," פאביה
 (2013)",1,ידנית,1400.0,בנזין,בנימינה גבעת עדה,24500.0,205000.0,צפון
אופל,2015,זאפירה,3,אוטומטית,1364.0,בנזין,אופקים,48150.0,127000.0,דרום
סקודה,2017,אוקטביה,1,אוטומטית,1400.0,בנזין,ראשון לציון,95000.0,30550.0,מרכז
מאזדה,2019, 3,1,אוטומטית,2000.0,בנזין,ירושלים,88000.0,54000.0,מרכז
אופל,2014,אינסיגניה,2,טיפטרוניק,1600.0,בנזין,באר שבע,34000.0,156000.0,דרום
מאזדה,2008,6,4,אוטומטית,2500.0,בנזין,לוד,23000.0,218000.0,מרכז
שברולט,2021,ספארק,2,אוטומטית,1400.0,בנזין,קרית ביאליק,79100.0,23000.0,צפון
הונדה,2011,CIVIC,1,אוטומטית,1800.0,בנזין,ראשון לציון,41900.0,84000.0,מרכז
קיה,2012,ריו,2,אוטומטית,900.0,בנזין,קריית אתא,20000.0,230000.0,מזרח
סוזוקי,2014, סוויפט,1,ידנית,1240.0,בנזין,פרדס,28000.0,205000.0,מרכז
יונדאי,2020,i10,1,אוטומטית,1200.0,בנזין,בית שאן,71500.0,55000.0,צפון
שברולט,2016,ספארק,2,אוטומטית,1400.0,בנזין,עפולה,40000.0,134000.0,מזרח
קיה,2021,פיקנטו,1,אוטומטית,1200.0,בנזין,עפולה,78000.0,24000.0,מזרח
פולקסווגן,2017,ג'טה,1,אוטומטית,1200.0,בנזין,עפולה,53000.0,150000.0,מזרח
לקסוס,2012,לקסוס CT200H,4,אוטומטית,1800.0,היברידי,ירושלים,53000.0,199000.0,מרכז
פולקסווגן,2012,פולו,3,ידנית,1400.0,בנזין,נצרת,29000.0,250000.0,צפון
שברולט,2012,אורלנדו,1,אוטומטית,2000.0,טורבו דיזל,ראש העין,21000.0,180000.0,מרכז
יונדאי,2017,i10,2,אוטומטית,1300.0,בנזין,חדרה,67000.0,38000.0,צפון
מיצובישי,2020,לנסר ספורטבק,2,אוטומטית,4200.0,גז,חדרה,35000.0,90000.0,צפון
הונדה,2007,CIVIC,1,אוטומטית,1800.0,בנזין,כפר יונה,21000.0,245000.0,מרכז
טויוטה,2017,אוריס,3,אוטומטית,1800.0,היברידי,ירושלים,65000.0,195000.0,מרכז
פולקסווגן,2013,פולו,2,אוטומטית,1200.0,בנזין,ירושלים,30000.0,175.0,מרכז
סובארו,2017,XV,2,אוטומטית,1600.0,בנזין,אשקלון,73000.0,110000.0,דרום
קיה,2013,פיקנטו,2,אוטומטית,1248.0,בנזין,פתח תקווה,32500.0,175000.0,מרכז
קיה,2014,פיקנטו,2,אוטומטית,1250.0,בנזין,ראשון לציון,42000.0,73000.0,מרכז
קיה,2018,פיקנטו,2,אוטומטית,1200.0,בנזין,עתלית,57000.0,91000.0,צפון
קיה,2018,פיקנטו,1,אוטומטית,1248.0,בנזין,חיפ,62500.0,44000.0,מזרח
ניסאן,2018, אלתימה,2,אוטומטית,2500.0,בנזין,ראש העין,98000.0,71500.0,מרכז
סקודה,2015, ראפיד (2015),2,אוטומטית,1395.0,בנזין,כרמיאל,40000.0,144000.0,צפון
סקודה,2013, אוקטביה (2013),2,אוטומטית,1200.0,בנזין,חיפה,30000.0,160000.0,צפון
מאזדה,2004,3,1,אוטומטית,2000.0,בנזין,ירושלים,20000.0,135000.0,מרכז
טויוטה,2019,קורולה,2,אוטומטית,1800.0,היברידי,אופקים,85000.0,155000.0,דרום
הונדה,2015,CIVIC,3,אוטומטית,1500.0,בנזין,בית שמש,56000.0,115000.0,מזרח
טויוטה,2018,קורולה,2,אוטומטית,1598.0,בנזין,עזריאל,62000.0,125000.0,מרכז
מאזדה,2010, 3,2,אוטומטית,1600.0,בנזין,מודיעין מכבים רעות,27000.0,160.0,מרכז
סוזוקי,2011, אלטו,2,אוטומטית,1000.0,בנזין,תל,20000.0,80000.0,מרכז
טויוטה,2020,יאריס,2,אוטומטית,1590.0,בנזין,גבעת אבני,90000.0,54000.0,צפון
יונדאי,2014,i25,2,אוטומטית,1400.0,בנזין,ירושלים,26000.0,183000.0,מרכז
מיצובישי,2017,ספייס סטאר,3,אוטומטית,1200.0,בנזין,מתתיהו,38500.0,57000.0,מזרח
סוזוקי,2015, קרוסאובר,1,אוטומטית,1600.0,בנזין,ריינה,55000.0,190000.0,צפון
הונדה,2011,ג'אז הייבריד,3,אוטומטית,1300.0,בנזין,ירושלים,31000.0,121000.0,מרכז
פיג'ו,2019,108,2,אוטומטית,1000.0,בנזין,ירושלים,40000.0,38000.0,מרכז
הונדה,2016,JAZZ,2,אוטומטית,1300.0,בנזין,רעננה,51900.0,130000.0,מרכז
יונדאי,2014,i25,2,אוטומטית,1600.0,בנזין,מודיעין,40000.0,165000.0,מרכז
סיטרואן,2014,DS3,3,אוטומטית,1600.0,בנזין,קרית שמונה,23000.0,143000.0,צפון
מאזדה,2008,6,2,אוטומטית,2000.0,בנזין,נצרת עילית,29500.0,111000.0,צפון
יונדאי,2021,i20,1,אוטומטית,1000.0,בנזין,חדרה,88000.0,6000.0,צפון
סוזוקי,2018, איגניס,1,אוטומטית,1200.0,בנזין,קרית,72000.0,17600.0,צפון
פולקסווגן,2012,פאסאט,2,טיפטרוניק,1800.0,בנזין,באר שבע,26000.0,200.0,דרום
קיה,2017,פורטה,1,אוטומטית,1600.0,בנזין,חיפה,69000.0,79000.0,צפון
סיטרואן,2018,C4,1,אוטומטית,1199.0,בנזין,תל אביב יפו,59500.0,73000.0,מרכז
טויוטה,2014,קורולה,2,אוטומטית,1600.0,בנזין,בת ים,46000.0,185000.0,מרכז
ניסאן,2014, מיקרה,3,ידנית,1200.0,בנזין,משמר השרון,22500.0,104000.0,לא ידוע
הונדה,2015,CIVIC,3,אוטומטית,1500.0,בנזין,בית שמש,56000.0,115000.0,מזרח
סוזוקי,2014, קרוסאובר,2,אוטומטית,1600.0,בנזין,כפר,48000.0,140000.0,מרכז
קיה,2015,ריו,2,אוטומטית,1400.0,בנזין,ביתר עילית,29000.0,200000.0,מרכז
טויוטה,2015,פריוס,2,אוטומטית,1798.0,היברידי,"כפר הרי""ף",80000.0,231000.0,מזרח
